,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.337460696003354,0.0,189.0,thr operon leader peptide,b0001,
hokC,1.7102759905137648,1.0,16896.0,"toxic membrane protein, small",b4412,
mokC,1.6807929057524515,1.0,16896.0,"regulatory protein for HokC, overlaps CDS of hokC",b0018,
nhaR,1.542378150308947,1.0,18714.0,transcriptional activator of nhaA,b0020,
rpsT,1.4177134250997896,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
yabP,1.6711975271727697,2.0,58473.0,No_gene_product,b4659,
sgrT,1.5025447568071153,3.0,73874.0,inhibitor of glucose uptake,b4662,
yadC,2.04981464426421,4.0,146201.0,putative fimbrial-like adhesin protein,b0135,
yadK,2.153427672632637,4.0,147489.0,putative fimbrial-like adhesin protein,b0136,
yadL,1.653260030979414,4.0,148112.0,putative fimbrial-like adhesin protein,b0137,
yadM,1.901505266999351,4.0,148729.0,putative fimbrial-like adhesin protein,b0138,
htrE,1.7751216082888543,4.0,149315.0,putative outer membrane usher protein,b0139,
yadV,1.789775691941947,4.0,151947.0,putative periplasmic pilin chaperone,b0140,
yadN,1.7674588775006668,4.0,152785.0,putative fimbrial-like adhesin protein,b0141,
yaeH,1.494714597044908,5.0,180224.0,UPF0325 family protein,b0163,
yaeP,1.4695112399602204,6.0,210432.0,UPF0253 family protein,b4406,
gloB,1.8462885293658573,7.0,230513.0,hydroxyacylglutathione hydrolase,b0212,['GLYOX']
yafT,1.8036432178176758,7.0,233821.0,lipoprotein,b0217,
ykfM,2.2262564911612315,7.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafU,1.7524947061539675,7.0,235520.0,No_gene_product,b0218,
yafQ,1.7755386951546752,8.0,242688.0,mRNA interferase toxin of toxin-antitoxin pair YafQ/DinJ,b0225,
dinJ,1.969001836463746,8.0,242728.0,antitoxin of YafQ-DinJ toxin-antitoxin system,b0226,
yafN,1.6600531856265694,9.0,248491.0,antitoxin of the YafO-YafN toxin-antitoxin system,b0232,
yafO,1.4787369157456154,9.0,248787.0,mRNA interferase toxin of the YafO-YafN toxin-antitoxin system,b0233,
ykfN,1.868554373455971,10.0,258860.0,No_gene_product,b4626,
ykfI,1.4085406008632548,10.0,259038.0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,
insX,1.4816774842652471,11.0,275968.0,No_gene_product,b4505,
ykgS,2.109636442668256,12.0,286208.0,No_gene_product,b4688,
yagK,1.8566992225019034,12.0,288032.0,CP4-6 prophage; conserved protein,b0277,
