,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
tfaQ,1.5302309251497,1.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yohO,1.3293650253955387,2.0,2209135.0,putative membrane protein,b4542,
yeiW,1.412990548439773,3.0,2258519.0,UPF0153 cysteine cluster protein,b4502,
mepS,1.3731262097556483,3.0,2263457.0,"murein DD-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein, weak murein LD-carboxypeptidase",b2175,
yejL,1.4288059925594239,4.0,2277607.0,UPF0352 family protein,b2187,
arnE,1.4695588438066458,5.0,2366035.0,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit,b4544,['ULA4Ntppi']
elaB,1.4886629407048986,6.0,2374200.0,putative membrane-anchored DUF883 family ribosome-binding protein,b2266,
yfbO,1.446691699532008,7.0,2382113.0,uncharacterized protein,b2274,
yfbU,1.508722836639294,8.0,2405578.0,UPF0304 family protein,b2294,
yfbV,1.406384405397207,8.0,2406400.0,UPF0208 family inner membrane protein,b2295,
hisJ,1.4705842285875241,9.0,2419484.0,histidine ABC transporter periplasmic binding protein,b2309,['HISabcpp']
yfcQ,1.5500737635744744,10.0,2444065.0,putative fimbrial-like adhesin protein,b2334,
yfcR,1.4411883540317245,10.0,2444550.0,putative fimbrial-like adhesin protein,b2335,
yfcS,1.4344883814699463,10.0,2445312.0,putative periplasmic pilin chaperone,b2336,
gtrA,1.5041680907722426,11.0,2461333.0,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase,b2350,
yfdT,1.439877463933642,12.0,2469376.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2363,
ypdJ,1.5435662103831613,12.0,2469659.0,No_gene_product,b4545,
ypdI,1.4225266666589216,13.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
nupC,1.4652119880104024,14.0,2506752.0,nucleoside (except guanosine) transporter,b2393,"['DCYTt2pp', 'THMDt2pp', 'DADNt2pp', 'ADNt2pp', 'CYTDt2pp', 'URIt2pp', 'DURIt2pp']"
ypeB,1.3480504023617748,15.0,2521299.0,DUF3820 family protein,b4546,
ptsI,1.3988944607550555,16.0,2527424.0,PEP-protein phosphotransferase of PTS system (enzyme I),b2416,"['ACMUMptspp', 'SBTptspp', 'DHAPT', 'TREptspp', 'GAMptspp', 'GLCptspp', 'MALTptspp', 'ACGAptspp', 'ASCBptspp', 'GALTptspp', 'MANptspp', 'CHTBSptspp', 'FRUptspp', 'ARBTptspp', 'FRUpts2pp', 'MANGLYCptspp', 'ACMANAptspp', 'MNLptspp', 'SUCptspp']"
yffM,1.4151231674306204,17.0,2554880.0,CPZ-55 prophage; uncharacterized protein,b2444,
yffQ,1.4722467385738878,17.0,2556950.0,CPZ-55 prophage; uncharacterized protein,b2448,
talA,1.4294683582312333,18.0,2572288.0,transaldolase A,b2464,['TALA']
yfgJ,1.4415899230593212,19.0,2629120.0,DUF1407 family protein,b2510,
era,1.4773862142648315,20.0,2695839.0,"membrane-associated, 16S rRNA-binding GTPase",b2566,
rseB,1.4228803164510702,20.0,2701312.0,"anti-sigma E factor, binds RseA",b2571,
grcA,1.6177052327594157,21.0,2709504.0,autonomous glycyl radical cofactor,b2579,"['PFL', 'OBTFL']"
pheL,1.3763661459022516,22.0,2730957.0,pheA gene leader peptide,b2598,
rimM,1.367784884858686,23.0,2738728.0,ribosome maturation factor,b2608,
rpsP,1.3687715873379354,23.0,2739295.0,30S ribosomal subunit protein S16,b2609,
grpE,1.4003835534940836,23.0,2743473.0,heat shock protein,b2614,
bamE,1.4216947119153822,23.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
yfjK,1.459519726457128,24.0,2754709.0,radiation resistance protein; DEAD/H helicase-like protein; CP4-57 putative defective prophage,b2627,
rnlA,1.4144545772079213,24.0,2759276.0,CP4-57 prophage; RNase LS,b2630,
ypjK,1.4482033015380167,24.0,2763803.0,CP4-57 prophage; putative inner membrane protein,b2635,
yfjS,1.3641766661158643,24.0,2764039.0,CP4-57 prophage; uncharacterized protein,b2636,
yfjX,1.336118999046436,25.0,2769277.0,CP4-57 prophage; putative antirestriction protein,b2643,
yfjY,1.4449371388127765,25.0,2769744.0,CP4-57 prophage; putative DNA repair protein,b2644,
ypjJ,1.5901672628213765,25.0,2770432.0,uncharacterized protein,b4548,
csiD,1.38725597606795,26.0,2783232.0,carbon starvation protein,b2659,
ygaP,1.4091916903679935,27.0,2790878.0,DUF2892 family inner membrane rhodanese,b2668,
srlB,1.4381418121825227,28.0,2820720.0,glucitol/sorbitol-specific enzyme IIA component of PTS,b2704,['SBTptspp']
truD,1.4074392676378547,29.0,2863613.0,tRNA(Glu) pseudouridine(13) synthase,b2745,
ygbE,1.5432466675437642,29.0,2866688.0,DUF3561 family inner membrane protein,b2749,
syd,1.3689410604633063,30.0,2918400.0,SecY-interacting protein,b2793,
fucI,1.441268594077517,31.0,2928942.0,L-fucose isomerase,b2802,['FCI']
ygdB,1.396896047099802,32.0,2956107.0,DUF2509 family protein,b2824,
yqeL,1.4218610576614419,33.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.4416869519765594,33.0,2983293.0,uncharacterized protein,b2849,
xdhB,1.4358658578907437,34.0,2996224.0,"xanthine dehydrogenase, FAD-binding subunit",b2867,"['XAND', 'HXAND']"
yqeC,1.445201768785265,35.0,3007645.0,putative selenium-dependent hydroxylase accessory protein,b2876,
guaD,1.3759115896110843,36.0,3019124.0,guanine deaminase,b2883,['GUAD']
ygfB,1.4753512345495974,37.0,3048224.0,UPF0149 family protein,b2909,
epd,1.4422147745570881,38.0,3066030.0,D-erythrose 4-phosphate dehydrogenase,b2927,['E4PD']
yggD,1.409476739180364,38.0,3068044.0,MtlR family putative transcriptional repressor,b2929,
yggT,1.443985041887349,39.0,3089178.0,putative inner membrane protein; compensates for loss in K+ uptake,b2952,
ansB,1.4097604472755005,39.0,3093040.0,periplasmic L-asparaginase 2,b2957,"['GLUNpp', 'ASNNpp']"
hybE,1.3443592478884778,40.0,3133669.0,hydrogenase 2-specific chaperone,b2992,
mqsA,1.4540144616845645,41.0,3161209.0,antitoxin for MqsR toxin; transcriptional repressor,b3021,
ygiW,1.3643073342471537,41.0,3162642.0,hydrogen peroxide and cadmium resistance periplasmic protein; stress-induced OB-fold protein,b3024,
yqiA,1.4037173134180028,42.0,3168783.0,acyl CoA esterase,b3031,
ibsD,1.3261649491057201,43.0,3188124.0,toxic membrane protein,b4664,
ygiM,1.496821513532451,43.0,3194880.0,SH3 domain protein,b3055,
plsY,1.3600065325880992,43.0,3198052.0,putative glycerol-3-phosphate acyltransferase,b3059,"['APG3PAT141', 'APG3PAT180', 'APG3PAT140', 'APG3PAT161', 'APG3PAT181', 'APG3PAT160', 'APG3PAT120']"
alx,1.4511153399313188,44.0,3231938.0,putative membrane-bound redox modulator,b3088,
exuR,1.431632585719299,45.0,3240010.0,hexuronate regulon transcriptional repressor; autorepressor,b3094,
yqjE,1.4623953573324793,45.0,3243041.0,DUF1469 family inner membrane protein,b3099,
prlF,1.5537037069630406,46.0,3270656.0,antitoxin of the SohA(PrlF)-YhaV toxin-antitoxin system,b3129,
agaR,1.4095743449931255,46.0,3271214.0,transcriptional repressor of the aga regulon,b3131,
diaA,1.4107950546739003,47.0,3289167.0,DnaA initiator-associating factor for replication initiation,b3149,
yhbS,1.3907315677389875,48.0,3293613.0,GNAT family putative N-acetyltransferase,b3156,
yhbT,1.3565275777126908,48.0,3294110.0,SCP-2 sterol transfer family protein,b3157,
yrbN,1.6877439395192217,49.0,3301248.0,uncharacterized protein,b4685,
rpsO,1.4752944302784772,49.0,3304960.0,30S ribosomal subunit protein S15,b3165,
yhbX,1.440900279721955,50.0,3313346.0,"putative EptAB family phosphoethanolamine transferase, inner membrane protein",b3173,
rlmE,1.7511782560261315,50.0,3320393.0,"23S rRNA U2552 2'-O-ribose methyltransferase, SAM-dependent",b3179,
mlaC,1.5358856721181968,51.0,3330614.0,"ABC transporter maintaining OM lipid asymmetry, periplasmic binding protein",b3192,
kdsD,1.636869823381858,51.0,3334624.0,D-arabinose 5-phosphate isomerase,b3197,['A5PISO']
kdsC,1.4937640063956408,51.0,3336192.0,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,b3198,['KDOPP']
lptB,1.4685529166376208,51.0,3337302.0,lipopolysaccharide export ABC transporter ATPase,b3201,"['ECA4COLIPAabctex', 'ACOLIPAabctex', 'O16A4COLIPAabctex', 'CLIPAabctex', 'ENLIPAabctex', 'LIPAabctex', 'COLIPAabctex', 'K2L4Aabctex', 'COLIPAPabctex']"
hpf,1.4510901495447208,51.0,3339776.0,ribosome hibernation promoting factor HPF; stabilizes 100S dimers,b3203,
yrbL,1.5333825274034343,51.0,3342336.0,Mg(2+)-starvation-stimulated protein,b3207,
yrdF,1.3538784303079323,52.0,3397853.0,No_gene_product,b4697,
