,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
insX,1.3630308128835311,1.0,275968.0,No_gene_product,b4505,
ykgS,1.486230702420165,2.0,286208.0,No_gene_product,b4688,
ykgP,1.4367075573978643,3.0,309426.0,No_gene_product,b4630,
nusB,1.343706398548449,4.0,430592.0,transcription antitermination protein,b0416,
cyoD,1.4831040155072457,5.0,443392.0,cytochrome o ubiquinol oxidase subunit IV,b0429,frozenset({<Reaction CYTBO3_4pp at 0x7fcfa6aa70b8>})
ldrA,1.4503752153896912,6.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5319484814302977,6.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.4959977050551476,7.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
yeeW,1.3168892100624898,8.0,2071552.0,No_gene_product,b2006,
ypdI,1.395814137154161,9.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
ypfN,1.3257844782966794,10.0,2586120.0,"putative membrane protein, UPF0370 family",b4547,
ypjJ,1.3275623109046382,11.0,2770432.0,uncharacterized protein,b4548,
ibsE,1.3331693214374314,12.0,3188499.0,toxic membrane protein,b4666,
hpf,1.420596519206381,13.0,3339776.0,ribosome hibernation promoting factor HPF; stabilizes 100S dimers,b3203,
yrdE,1.3752734443893122,14.0,3397996.0,No_gene_product,b4646,
fis,1.4851401656736258,15.0,3404800.0,global DNA-binding transcriptional dual regulator,b3261,
yhdU,1.294991505817803,15.0,3405979.0,putative membrane protein,b3263,
yhdN,1.4072901537135885,16.0,3432499.0,DUF1992 family protein,b3293,
rpsL,1.4566088891240643,17.0,3467536.0,30S ribosomal subunit protein S12,b3342,
insK,1.4339910176160282,18.0,3715072.0,IS150 transposase B,b3558,
rpmB,1.3027817132581625,19.0,3804797.0,50S ribosomal subunit protein L28,b3637,
atpE,1.487732207973498,20.0,3914309.0,"F0 sector of membrane-bound ATP synthase, subunit c",b3737,frozenset({<Reaction ATPS4rpp at 0x7fcfa6b16748>})
yifL,1.3077698452810786,21.0,3987968.0,putative lipoprotein,b4558,
yihD,1.3472187575854548,22.0,4035584.0,DUF1040 protein YihD,b3858,
tufB,1.8086657995005953,23.0,4165871.0,translation elongation factor EF-Tu 2,b3980,
rplJ,1.3492592008395352,23.0,4169923.0,50S ribosomal subunit protein L10,b3985,
yjaG,1.4349122310836497,24.0,4189431.0,DUF416 domain protein,b3999,
yjdQ,1.3896631197653728,25.0,4352007.0,No_gene_product,b4654,
ytfP,1.3520572933755635,26.0,4438016.0,GGCT-like protein,b4222,
yjgX,1.4759626306138591,27.0,4489409.0,No_gene_product,b4575,
yjgZ,1.4848532536047268,27.0,4491264.0,uncharacterized protein,b4277,
