,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
rpsT,1.440903973613648,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
yagP,1.4591323026624716,2.0,293376.0,No_gene_product,b4694,
ykgT,1.39192305745819,2.0,293424.0,No_gene_product,b4695,
nrdR,1.3460353373773424,3.0,428457.0,Nrd regulon repressor,b0413,
ybcW,1.3505468053269487,4.0,575488.0,DLP12 prophage; uncharacterized protein,b0559,
cydX,1.4014824133968506,5.0,769651.0,cytochrome d (bd-I) ubiquinol oxidase subunit X,b4515,
cbdX,1.5997761287902617,6.0,1035900.0,putative cytochrome bd-II oxidase subunit,b4592,
tfaR,1.5706259399974034,7.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
tfaQ,1.546301786863502,8.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
bamE,1.310791538397902,9.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
yfjJ,1.5350785661031103,10.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yfjU,1.4610874646938827,11.0,2765360.0,No_gene_product,b2638,
ypjJ,1.492309670778594,12.0,2770432.0,uncharacterized protein,b4548,
yfjZ,1.3796641913900696,12.0,2770473.0,CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system,b2645,
pinH,1.4933040688271464,12.0,2776576.0,No_gene_product,b2648,
hypA,1.4694932478354472,13.0,2844005.0,protein involved in nickel insertion into hydrogenases 3,b2726,
yqcC,1.4446327454492471,14.0,2917376.0,DUF446 family protein,b2792,
zapA,1.4659400130812419,15.0,3048970.0,FtsZ stabilizer,b2910,
hybG,1.3371475160310522,16.0,3133074.0,hydrogenase 2 accessory protein,b2990,
mqsR,1.3589301800850013,17.0,3161606.0,GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system; biofilm/motility regulator; anti-repressor,b3022,
yqjE,1.3484080726124115,18.0,3243041.0,DUF1469 family inner membrane protein,b3099,
tdcF,1.459499269218693,19.0,3253079.0,putative reactive intermediate deaminase,b3113,
nlpI,1.416637697643996,20.0,3301398.0,lipoprotein involved in osmotic sensitivity and filamentation,b3163,
kdsD,1.3888126454862613,21.0,3334624.0,D-arabinose 5-phosphate isomerase,b3197,frozenset({<Reaction A5PISO at 0x7fcfa6c33160>})
yrdF,1.5190078574228083,22.0,3397853.0,No_gene_product,b4697,
rpsS,1.400492504601732,23.0,3443712.0,30S ribosomal subunit protein S19,b3316,
gspG,1.3685243962308133,24.0,3454381.0,"pseudopilin, cryptic, general secretion pathway",b3328,
nikR,1.438540916361758,25.0,3611947.0,"transcriptional repressor, Ni-binding",b3481,
yhhH,2.381777671178307,25.0,3616768.0,putative NTF2 fold immunity protein for polymorphic toxin RhsB,b3483,
yrhC,2.259737243730396,25.0,3617246.0,No_gene_product,b4552,
yhhI,2.9306998288309276,25.0,3618816.0,putative transposase,b3484,
yhhJ,2.9585809260849283,25.0,3619038.0,putative ABC transporter permease,b3485,
rbbA,2.8529361842395957,25.0,3620864.0,ribosome-associated ATPase: ATP-binding protein/ATP-binding membrane protein,b3486,
yhiI,2.87205652501411,25.0,3622912.0,putative membrane fusion protein (MFP) of efflux pump,b3487,
yhiJ,3.1213593562694233,25.0,3624327.0,DUF4049 family protein,b3488,
yhiL,2.6197950715076415,25.0,3626211.0,No_gene_product,b4660,
yhiM,3.334788608471031,25.0,3629056.0,"acid resistance protein, inner membrane",b3491,
yhiN,3.0102463735274174,25.0,3629567.0,putative oxidoreductase,b3492,
pitA,3.6104060181130557,25.0,3631001.0,"phosphate transporter, low-affinity; tellurite importer",b3493,frozenset({<Reaction PIt2rpp at 0x7fcfa669c978>})
uspB,3.060270405753475,25.0,3632744.0,universal stress (ethanol tolerance) protein B,b3494,
uspA,3.1381169609381696,25.0,3633470.0,universal stress global response regulator,b3495,
dtpB,3.534442468478019,25.0,3634221.0,dipeptide and tripeptide permease B,b3496,"frozenset({<Reaction LALADGLUtpp at 0x7fcfa68772b0>, <Reaction LALALGLUtpp at 0x7fcfa68773c8>})"
rsmJ,2.713578155873887,25.0,3635739.0,"16S rRNA m(2)G1516 methyltransferase, SAM-dependent",b3497,
prlC,2.83829561430203,25.0,3637248.0,oligopeptidase A,b3498,
rlmJ,2.7038492941075245,25.0,3639296.0,"23S rRNA m(6)A2030 methyltransferase, SAM-dependent",b3499,
gor,3.0411072008309974,25.0,3639658.0,glutathione oxidoreductase,b3500,frozenset({<Reaction GTHOr at 0x7fcfa68e0908>})
dinQ,3.0277176357601494,25.0,3641088.0,"UV-inducible membrane toxin, DinQ-AgrB type I toxin-antitoxin system",b4613,
arsR,3.10969071274092,25.0,3641887.0,arsenical resistance operon transcriptional repressor; autorepressor,b3501,
