,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.4394879762969137,0.0,189.0,thr operon leader peptide,b0001,
ykfM,1.4918146194790338,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgR,1.453729924072347,2.0,308851.0,uncharacterized protein,b4671,
ykgQ,1.3282477527060335,2.0,313149.0,No_gene_product,b4631,
ybcV,1.4119605108591204,3.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.5384658589875366,4.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.3820992714680176,5.0,729231.0,putative membrane protein,b0702,
ybfC,1.3630558386068576,5.0,731136.0,putative secreted protein,b0704,
ompF,2.320898588535614,6.0,981349.0,outer membrane porin 1a (Ia;b;F),b0929,"['ACNAMtex', 'SUCCtex', 'XYLUtex', 'ACALDtex', 'CMPtex', 'F6Ptex', 'CLtex', 'DHAtex', 'IMPtex', 'PHEtex', 'IDONtex', 'CMtex', 'CRNDtex', 'DAMPtex', 'GLYC3Ptex', 'CGLYtex', 'DDGLCNtex', 'MANtex', 'INDOLEtex', 'TRPtex', 'UMPtex', 'ACGAM1Ptex', 'GSNtex', 'CRNtex', 'GMPtex', 'LEUtex', 'XYLtex', 'FE2tex', 'SLNTtex', 'ACGALtex', 'SKMtex', 'SO2tex', 'CITtex', 'DALAtex', 'SO3tex', 'CO2tex', 'ACGAL1Ptex', 'GTHOXtex', 'CHLtex', 'FORtex', 'TSULtex', 'SUCRtex', 'SULFACtex', 'INSTtex', 'TTRCYCtex', 'PItex', 'DGMPtex', 'AMPtex', 'ANHGMtex', 'DGSNtex', 'ILEtex', 'GLYCLTtex', 'COBALT2tex', 'Zn2tex', 'ACSERtex', 'TUNGStex', 'CSNtex', 'AGMtex', 'LIPOtex', 'CHTBStex', 'SO4tex', 'DAPtex', '3UMPtex', 'TYMtex', 'URAtex', 'ACGAtex', 'LYStex', 'DINStex', 'GALURtex', 'GTHRDtex', 'OROTtex', 'ALLTNtex', 'MMETtex', 'FUSAtex', 'NH4tex', 'THMtex', '12PPDRtex', 'ALAALAtex', 'NOtex', '12PPDStex', 'R5Ptex', 'XANtex', 'CUtex', 'SPMDtex', 'XMPtex', 'ALLtex', 'TYRPtex', '23CCMPtex', 'DCAtex', 'GAMAN6Ptex', 'THRPtex', 'TYRtex', '23CAMPtex', 'CU2tex', 'NI2tex', 'NO2tex', 'GTPtex', 'MNLtex', 'GLCNtex', '23CGMPtex', 'GAL1Ptex', '23CUMPtex', 'GALtex', 'HG2tex', 'MALtex', 'NAtex', '23DAPPAtex', 'DCMPtex', 'G1Ptex', 'MAN6Ptex', 'UACGAMtex', 'PYDAMtex', 'XTSNtex', 'MNtex', 'ARBTtex', 'DMSOtex', 'THMDtex', 'G6Ptex', 'GAMtex', 'HIStex', 'NMNtex', 'PACALDtex', 'THRtex', 'GALBDtex', 'THYMtex', 'GBBTNtex', 'PNTOtex', 'TREtex', 'CYANtex', 'MANGLYCtex', 'NO3tex', 'FE3tex', 'GLCRtex', '26DAHtex', 'PYDXNtex', 'H2O2tex', 'DIMPtex', 'DMStex', 'H2Otex', 'O2Stex', 'UDPGALtex', 'ASPtex', '3CMPtex', '3HPPtex', 'HCINNMtex', 'ARBtex', '3AMPtex', 'ACtex', 'GLYCtex', 'O2tex', 'DSERtex', 'FRULYStex', 'PSCLYStex', 'ABUTtex', 'MOBDtex', 'LALALGLUtex', 'CA2tex', 'GLCUR1Ptex', 'GLCURtex', 'DOXRBCNtex', 'H2Stex', 'UDPGLCURtex', 'DOPAtex', 'FRUURtex', 'GLCtex', 'HXAtex', 'CD2tex', 'DUMPtex', 'ETHAtex', 'H2tex', 'FRUtex', 'UDPGtex', 'ADEtex', 'ETHSO3tex', 'D__LACtex', 'DTMPtex', 'FALDtex', 'CYTDtex', 'OCTAtex', 'GLYtex', 'SERtex', 'PSERtex', 'BALAtex', 'FUCtex', 'LCTStex', 'PROGLYtex', 'ETOHtex', 'ACMUMtex', 'HYXNtex', 'ACMANAtex', 'Htex', '34dhpactex', 'ARGtex', 'UDPACGALtex', 'ACACtex', 'PROtex', '3GMPtex', 'PEAMNtex', 'FUMtex', 'MELIBtex', '3PEPTtex', 'ASO3tex', 'BTNtex', 'GALTtex', 'MSO3tex', 'CYNTtex', 'TARTRDtex', 'CYSDtex', 'METtex', 'UREAtex', 'RIBtex', 'MEOHtex', 'PPALtex', 'ISETACtex', 'PYDXtex', 'SBTtex', 'LYXtex', 'ALAtex', 'GLNtex', 'ASCBtex', 'GALCTNLtex', '4HOXPACDtex', 'TMAtex', 'MG2tex', 'G3PCtex', 'RMNtex', 'GALCTNtex', 'Ktex', 'HOMtex', 'TARTRtex', 'GLUtex', 'GALCTtex', 'TMAOtex', 'MALDtex', '4PEPTtex', 'G3PGtex', 'PYRtex', 'GLYALDtex', 'METDtex', '5DGLCNtex', 'ASNtex', 'PPAtex', 'GDPtex', 'MINCYCtex', 'N2Otex', 'G3PEtex', 'L__LACtex', 'HPPPNtex', 'TAURtex', 'SELtex', 'TCYNTtex', 'PPPNtex', 'QUIN2tex', 'GLYBtex', 'NACtex', 'CYStex', 'GLYCAtex', 'G3PItex', 'BUTSO3tex', 'METSOX1tex', 'VALtex', 'GLYC2Ptex', 'AKGtex', 'BUTtex', 'METSOX2tex', 'PTRCtex', 'LALADGLUtex', 'ORNtex', '5MTRtex', 'G3PStex', 'PPTtex']"
iraM,1.4297407290219808,7.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.3480829974209325,8.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.3416317693530682,8.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ldrA,1.709448115051319,9.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.7266102044327285,9.0,1265693.0,"toxic polypeptide, small",b4423,
ydaE,1.4211688082490759,10.0,1412096.0,"conserved protein, Rac prophage",b4526,
tfaR,1.8956673486256912,11.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
pinR,1.5849193503604768,11.0,1427456.0,Rac prophage; putative site-specific recombinase,b1374,
ynaE,2.0326874675030435,11.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.8586117293718356,12.0,1459456.0,uncharacterized protein,b4674,
yncH,1.4935302790545186,13.0,1521196.0,IPR020099 family protein,b1455,
ydcD,1.47138509503993,13.0,1524178.0,putative immunity protein for RhsE,b1457,
yddK,1.4400770036798902,14.0,1538640.0,No_gene_product,b1471,
yddL,1.33247770503669,14.0,1540096.0,No_gene_product,b1472,
ydfK,2.0693219275287453,15.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.887598241260284,15.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
ydfO,1.3412394922403055,15.0,1631303.0,Qin prophage; uncharacterized protein,b1549,
gnsB,1.3896450430150826,15.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
lpp,1.9183522820574421,16.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
cspC,1.3264734901885897,17.0,1901568.0,"stress protein, member of the CspA-family",b1823,
yobF,1.4254285373718538,17.0,1901704.0,DUF2527 family heat-induced protein,b1824,
yobI,1.367471026847238,18.0,1940371.0,uncharacterized protein,b4677,
